Name [link],Virtualized [boolean|c],Public [boolean|c],Active [boolean|c],Encrypted [boolean|c],Sensitive [boolean|c],Tags [chip],Groups [chip]
foxtrot-orion-charlie-id640,False,False,True,True,False,prod,"Data Lake, Object Storage"
cold-apollo-id931,True,False,True,True,True,pci,
images-orion-id239,True,False,True,True,False,"datahub, lake","HR Data, HIPAA"
zephyr-nebula-9m18,True,False,True,True,False,"pci, tok, dl","Regional US, GDPR"
aurora-dev-keywfl,False,True,False,True,False,prod,"SOX, Archive"
reports-logs-fusion-ephb,True,True,True,True,False,analytics,Disaster Recovery
stage-nimbus-9edm,False,False,True,True,False,"nyc, eng, qa",
apollo-fusion-logs-xfm2,False,False,True,True,False,"eng, datahub, nyc",Block Storage
canary-nimbus-cold-frme,False,False,True,False,False,"dl, pii, gdpr",
lake-qa-keyrrf,True,False,True,True,False,"pci, dub, finance",Regional US
apollo-foxtrot-curated-lpbi,False,False,False,True,False,"lon, dev, sfo",
vertex-atlas-uble,True,False,True,True,False,"par, logs","HR Data, HIPAA"
quantum-videos-14pq,True,False,True,True,False,blr,
vertex-matrix-summit-id117,False,False,True,True,True,"dub, qa, finance","Cold Storage, PCI"
nebula-tier1-nimbus-id330,True,False,True,True,False,"tok, sales","Data Mart, GDPR"
vault-delta-lake-2mxb,True,False,True,True,False,"sales, fra",Backups
horizon-etl-ma2f,True,False,True,True,False,"dub, images, qa",Hot Storage
bravo-nova-udd7,True,False,False,True,False,"datahub, gdpr",
orion-vector-cold-id414,True,False,False,False,False,sfo,
fusion-prod-a0ae,True,False,True,True,True,"legal, phi, lon","Block Storage, Finance Data"
mart-aurora-id229,False,False,True,True,False,"logs, pci",
docs-gold-tier1-id422,True,False,False,False,False,"dub, sales, analytics","Block Storage, Finance Data"
bronze-prod-tier1-keyfia,True,False,True,False,False,"gdpr, prod, sfo",
cold-gamma-summit-a79b,False,False,True,False,False,"fra, prod, datahub","Regional EU, Cold Storage"
lake-bronze-gamma-head,True,False,True,True,False,"fra, legal","Block Storage, GDPR"
