Name [link],Agents [r],Last Modified,Modified by [chip],Created on,Created by [chip]
Linux Zero Trust Tier 1,5787,"May 24, 2024",Liam Taylor,"Feb 19, 2024",Kendall Adams
CrowdStrike Connector - Toronto,8296,"Nov 22, 2024",Rowan Allen,"Mar 17, 2024",Ethan Collins
Linux Hardening - Austin,5991,"May 18, 2024",Kendall King,"May 25, 2020",Nora Taylor
Policy 676 - Endpoints Browser Hardening,6,"Jan 15, 2024",Mia Parker,"Jan 01, 2024",Mason Nelson
S3 Ingestion Baseline - QA,7244,"May 02, 2025",Henry Turner,"Jan 29, 2025",Reese Clark
Network Local Admin Removal,7386,"Apr 16, 2024",Olivia Hall,"Apr 07, 2023",Emerson Smith
Elastic Agent Baseline - Prod,7952,"Aug 07, 2020",Skyler Martin,"Mar 16, 2020",Aiden Brown
Network Certificate Rotation 90d,1124,"Aug 01, 2024",Amelia Nelson,"May 25, 2024",Jordan Turner
Containers Certificate Rotation 90d,3987,"Mar 22, 2025",Harper Thompson,"Dec 27, 2021",Zoe Jackson
Splunk Forwarder Baseline - Dev,6009,"Jan 31, 2025",Morgan Anderson,"Jun 23, 2024",Logan Hall
Policy 968 - Endpoints MFA Required,4164,"Nov 26, 2024",Avery Harris,"May 06, 2023",Emma Baker
Azure Sentinel Baseline - Dev,5942,"Apr 30, 2025",Casey Hall,"Jun 06, 2024",Alex Martinez
Endpoints Hardening - Toronto,9679,"Nov 25, 2024",Charlie Parker,"Apr 04, 2022",Reese Martinez
Network Hardening - Berlin,4604,"Sep 18, 2024",Reese Edwards,"Nov 18, 2020",Mason King
Policy 347 - Windows Audit Logging Level 2,3790,"Aug 28, 2025",Casey Roberts,"Jul 23, 2021",Taylor Thomas
Linux Hardening - New York,2851,"Apr 04, 2025",Jamie King,"Sep 02, 2023",Olivia Anderson
Network Hardening - Toronto,2772,"Mar 03, 2023",Rowan Lewis,"Oct 23, 2021",Jamie Martin
Policy 410 - Containers PowerShell Constrained,7912,"Jun 01, 2023",Elliot Young,"Sep 07, 2021",Luna Campbell
Kafka Ingestion - Berlin,255,"Apr 04, 2025",Avery Phillips,"Mar 28, 2020",Mia Smith
Windows Hardening - Austin,7969,"Oct 01, 2022",Casey Walker,"Jun 21, 2022",Isabella Clark
Containers Patch Critical,6328,"Dec 19, 2024",Benjamin Harris,"Jun 19, 2024",Zoe Adams
Splunk Forwarder - Paris,3584,"Jun 12, 2025",Reese King,"May 21, 2025",Hayden Thomas
macOS Browser Hardening - Staging,7739,"Aug 02, 2025",Logan Robinson,"Dec 05, 2022",Chloe Edwards
Syslog 514 Baseline - Prod,7056,"Aug 21, 2025",Charlie Green,"May 17, 2025",Chris Scott
Azure Sentinel - Dublin,4652,"May 06, 2025",Morgan White,"Dec 07, 2024",Avery Thomas
Containers Hardening - New York,111,"Dec 07, 2023",Alex Green,"Dec 23, 2021",Isla Turner
Containers Zero Trust Tier 1 - QA,6652,"Apr 05, 2023",Zoe Hall,"Jul 20, 2022",Jamie Taylor
macOS SSH Hardening,8442,"Nov 17, 2023",Sophia Baker,"Jan 18, 2022",Jamie Johnson
Network Admin Lockdown,3508,"Nov 29, 2023",Morgan Parker,"Nov 10, 2023",Emerson Thomas
Azure Sentinel Baseline - QA,4097,"Jul 12, 2024",Charlie Harris,"May 25, 2021",Logan Roberts
macOS TLS 1.0 Disabled,8993,"Feb 12, 2022",Reese Walker,"Mar 27, 2021",Emma Walker
